id,projectId,propertyCategory,type,customBHK
cmfcdo9ej006jvca0unalmr56,cmfcdo9ei006gvca0wq9t8usr,RESIDENTIAL,1BHK,1BHK
cmfcdo9ek006lvca0wye9m2zq,cmfcdo9ei006gvca0wq9t8usr,RESIDENTIAL,2BHK,2BHK
cmfcdo9ek006nvca0aerkp2r8,cmfcdo9ei006gvca0wq9t8usr,RESIDENTIAL,Office space,
cmfcg9rep0004vc20nnmldrf5,cmfcg9ren0001vc209rw25eve,RESIDENTIAL,2BHK,2BHK
cmfcg9rep0006vc20zocna1zw,cmfcg9ren0001vc209rw25eve,RESIDENTIAL,3BHK,3BHK
cmfdmdqms000bvc90e1hpq42a,cmfdmdqmq0008vc90svu2sfto,RESIDENTIAL,1BHK,1BHK
cmfdmdqmt000dvc90s9ndd0nq,cmfdmdqmq0008vc90svu2sfto,RESIDENTIAL,2BHK,2BHK
cmfdmdqmt000gvc90h6gcwpga,cmfdmdqmq0008vc90svu2sfto,RESIDENTIAL,3BHK,3BHK
cmfdnk2s1001uvc90qi4xuo6m,cmfdnk2rz001rvc90t6aa3f0e,RESIDENTIAL,4.5BHK,Custom
cmfdro2w3002lvc90reujbiw4,cmfdro2w2002ivc90co2n24lb,RESIDENTIAL,3BHK,3BHK
cmfdssd1a003avc90t92jvmti,cmfdssd190037vc90paoxv29h,RESIDENTIAL,1BHK,1BHK
cmfdssd1b003cvc905s09tzlj,cmfdssd190037vc90paoxv29h,RESIDENTIAL,2BHK,2BHK
cmfdu20980049vc901gbx5yzt,cmfdu20970046vc90g587nym1,RESIDENTIAL,2BHK,2BHK
cmfdu2099004bvc90md0gqlsn,cmfdu20970046vc90g587nym1,RESIDENTIAL,3BHK,3BHK
cmfdvkxew0056vc90azi120pa,cmfdvkxeu0053vc90gquj3cbz,RESIDENTIAL,2BHK,2BHK
cmfdxi4sx005uvc90ek5w6w18,cmfdxi4sv005rvc90ygfhnzc9,RESIDENTIAL,1BHK,
cmfdxi4sx005wvc90x44fqzb5,cmfdxi4sv005rvc90ygfhnzc9,RESIDENTIAL,2BHK,
cmfdyb2yd006uvc90uba2ys2y,cmfdyb2yc006rvc900owycgrv,RESIDENTIAL,2BHK,
cmfdyb2ye006xvc90tgudor3v,cmfdyb2yc006rvc900owycgrv,RESIDENTIAL,3BHK,
cmfdz9fvy008bvc90b7nawpiw,cmfdz9fvx0088vc90pw26eyr8,RESIDENTIAL,2BHK,2BHK
cmfdz9fvy008evc90f98iggaw,cmfdz9fvx0088vc90pw26eyr8,RESIDENTIAL,3BHK,3BHK
cmfe01l6i009jvc90qz54yiev,cmfe01l6h009gvc90y1zazr09,RESIDENTIAL,2BHK,2BHK
cmfe01l6j009mvc90aj7pny7p,cmfe01l6h009gvc90y1zazr09,RESIDENTIAL,3BHK,3BHK
cmfozqxd90001vxxuau2xc6lj,cmff8swbm0001vxp7pe3neibi,RESIDENTIAL,5BHK,
cmfozzj19001rvxxuloxiehen,cmff8swbm0001vxp7pe3neibi,RESIDENTIAL,2BHK,
cmftjwws80004vx55yx8nel0u,cmftjwws60001vx55r0q7797l,RESIDENTIAL,4BHK,4BHK
cmftjwws80006vx55x3s20w2u,cmftjwws60001vx55r0q7797l,RESIDENTIAL,4.5BHK,
cmfw5ivrc0004vxnkqlpfdbae,cmfw5ivra0001vxnkbozvz8bd,RESIDENTIAL,House_Villa,House_Villa
cmfw5ivrd0006vxnk2bia4myh,cmfw5ivra0001vxnkbozvz8bd,RESIDENTIAL,3BHK,3BHK
cmfwd3781000bvxgx5ilktqht,cmfwd377z0008vxgxd9nju858,RESIDENTIAL,4BHK,4BHK
cmfxrvmud000cqq134yeaya3o,cmfxrvmuc0009qq138n0vk91p,RESIDENTIAL,1BHK,1BHK
cmfxrvmud000eqq13dl82i5js,cmfxrvmuc0009qq138n0vk91p,RESIDENTIAL,2BHK,2BHK
cmfxrvmud000hqq136m0p71jv,cmfxrvmuc0009qq138n0vk91p,RESIDENTIAL,3BHK,3BHK
cmfxtgtby000cvxovsdc7rfa6,cmfxtgtbw0009vxov4t5onh7d,RESIDENTIAL,3BHK,3BHK
cmfxwmse70004qq0987ge7h2b,cmfxwmse70001qq0908yt6oar,RESIDENTIAL,1RK ,
cmfxxh08t0016qq09wmpw7s17,cmfxxh08t0013qq09o0rajcrt,RESIDENTIAL,1BHK,1BHK
cmfxxh08u0018qq09k3wwm63q,cmfxxh08t0013qq09o0rajcrt,RESIDENTIAL,2BHK,2BHK
